Step Time Temp Press Volume PotEng KinEng TotEng Enthalpy
171000 170.999 288.104416909604 -11284.907141413 48342.3501680158 -3.49994867690344 0.0372311086001996 -13850.870273213 -14191.3689215477
172000 171.999 284.191628209909 -11370.7838694629 48353.5167621665 -3.49941303349563 0.0367254674074314 -13850.7502643528 -14193.919314973
173000 172.999 291.677833574006 -11927.7508254641 48364.0785461527 -3.50035143875413 0.0376928934812966 -13850.6341810913 -14210.6910648377
174000 173.999 292.18069201141 -12201.7165888378 48374.0303564347 -3.50038755926075 0.0377578767859414 -13850.5187298992 -14218.9214674685
175000 174.999 285.627447998692 -12147.8352507565 48383.3673738986 -3.49951203712643 0.0369110152829549 -13850.4040873739 -14217.2507960448
176000 175.999 292.85237274936 -12708.4098343281 48392.0857098188 -3.50041780973621 0.037844676630135 -13850.2925324243 -14234.1369203168
177000 176.999 282.704289586041 -12449.7773734105 48400.1822657336 -3.49907853387187 0.0365332618646476 -13850.1810880289 -14226.2766642909
178000 177.999 294.592853993437 -13255.2009731346 48407.6553765427 -3.50058851479397 0.0380695952443997 -13850.0756781983 -14250.5641391477
179000 178.999 291.864778414963 -13222.4091854623 48414.5027384498 -3.50020955365945 0.0377170519574164 -13849.9700068081 -14249.5242167959
180000 179.999 285.360996255279 -13209.4041873701 48420.7228305439 -3.49934380020202 0.0368765823023635 -13849.8688715986 -14249.0813796545
181000 180.999 289.943331430192 -13517.9737881865 48426.3156492347 -3.4999115788954 0.0374687475331841 -13849.7713254489 -14258.3565628461
182000 181.999 288.284301674942 -13505.3782233921 48431.2819908447 -3.49967353543951 0.0372543547180678 -13849.6767228858 -14257.9231184172
183000 182.999 288.488473491593 -13697.8973476459 48435.623872122 -3.49967707056651 0.0372807393988734 -13849.5853246705 -14263.6883924471
184000 183.999 289.798268263501 -13793.2561607906 48439.3434714424 -3.49982427982414 0.0374500013349449 -13849.4971139568 -14266.5150097767
185000 184.999 295.44684963643 -14178.5374914819 48442.442886403 -3.50053359773364 0.0381799552481422 -13849.414569942 -14278.1082829279
186000 185.999 285.74609217509 -13743.278404874 48444.9249655353 -3.49925965590473 0.0369263474124086 -13849.3332339693 -14264.8880065581
187000 186.999 286.053883969677 -13826.4840748264 48446.7949961405 -3.49928047724377 0.0369661226781036 -13849.2574182627 -14267.3442142496
188000 187.999 292.903601774342 -14166.2195520497 48448.0568125172 -3.50014783396953 0.0378512968458646 -13849.1861484946 -14277.5570612351
189000 188.999 288.878207014821 -14013.7838873946 48448.715057866 -3.49961049962926 0.0373311038163443 -13849.1175832517 -14272.8847664821
190000 189.999 288.746359965619 -13964.7589525059 48448.7759488342 -3.49957719490647 0.0373140655082888 -13849.0525175927 -14271.3377512542
191000 190.999 286.438065646899 -13877.7218490489 48448.2467277322 -3.49926355189389 0.0370157696425629 -13848.9911290053 -14268.6398332283
192000 191.999 285.134570435269 -13796.0864945116 48447.1342000099 -3.49908097882711 0.0368473217849958 -13848.9346281684 -14266.1051794994
193000 192.999 295.659463099061 -14092.7752343973 48445.4452135588 -3.50042805932538 0.038207430824539 -13848.8825140034 -14275.0095796076
194000 193.999 290.152710335546 -13852.3841580308 48443.1876598833 -3.4997038924021 0.0374958051147631 -13848.8323491494 -14267.6711258411
195000 194.999 283.368176775171 -13513.5263107806 48440.3702261068 -3.49881529923361 0.0366190545654397 -13848.7849786727 -14257.3543326449
196000 195.999 282.117919105827 -13381.6238606904 48437.0014013443 -3.4986431892136 0.0364574864799348 -13848.7428109346 -14253.2960756296
197000 196.999 287.283173978268 -13447.7966617433 48433.09102447 -3.49930117297417 0.0371249811583101 -13848.7047672634 -14255.2257465668
198000 197.999 292.927931883452 -13547.2613794072 48428.6493691457 -3.5000218717181 0.0378544409730676 -13848.6697229801 -14258.1599203807
199000 198.999 285.030699196343 -13096.3911287191 48423.6874906063 -3.49899278629317 0.0368338987301938 -13848.6355502519 -14244.4568291633
200000 199.999 286.691675046756 -13007.7598239466 48418.2156400994 -3.49920030404961 0.0370485430349649 -13848.6070440586 -14241.7051329087
